epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.124,1.45888,4.23559,1.73688,0.49918,0.1999,0.17283,0.10205,1.33048,2.08,1.78452,2.92802e-05,2.92802e-05,2.92802e-05
2,944.87,1.30913,2.28188,1.54256,0.52177,0.37306,0.3195,0.19028,1.33708,1.53839,1.77322,5.66793e-05,5.66793e-05,5.66793e-05
3,1408.46,1.30361,1.9052,1.52814,0.53247,0.41508,0.37428,0.22436,1.32508,1.45264,1.75902,8.21424e-05,8.21424e-05,8.21424e-05
4,1873.78,1.28554,1.74412,1.51741,0.54535,0.47283,0.44884,0.26984,1.30616,1.25998,1.73067,7.9288e-05,7.9288e-05,7.9288e-05
5,2337.08,1.25983,1.59414,1.49422,0.58263,0.49799,0.48435,0.2983,1.27509,1.17416,1.69022,7.6384e-05,7.6384e-05,7.6384e-05
6,2801.99,1.24524,1.49193,1.48214,0.57671,0.56494,0.5532,0.34325,1.24668,1.06961,1.65908,7.348e-05,7.348e-05,7.348e-05
7,3268.1,1.23339,1.42353,1.47088,0.63046,0.56576,0.5765,0.36462,1.22927,1.0555,1.64206,7.0576e-05,7.0576e-05,7.0576e-05
8,3733.15,1.22206,1.37671,1.46186,0.61572,0.59675,0.60911,0.38869,1.20909,0.98131,1.62713,6.7672e-05,6.7672e-05,6.7672e-05
9,4196.46,1.21138,1.32024,1.44953,0.63208,0.62782,0.62737,0.40559,1.20095,0.92503,1.60956,6.4768e-05,6.4768e-05,6.4768e-05
10,4659.78,1.1978,1.278,1.44192,0.64619,0.65938,0.66133,0.43303,1.1747,0.87757,1.58446,6.1864e-05,6.1864e-05,6.1864e-05
11,5122.25,1.18882,1.2364,1.43769,0.65698,0.66608,0.68012,0.44732,1.16283,0.85904,1.57794,5.896e-05,5.896e-05,5.896e-05
12,5584.19,1.17907,1.1988,1.42584,0.66609,0.68401,0.70756,0.46993,1.14409,0.82191,1.56098,5.6056e-05,5.6056e-05,5.6056e-05
13,6046.5,1.16495,1.1755,1.42168,0.67542,0.71986,0.73623,0.49491,1.1275,0.78807,1.54438,5.3152e-05,5.3152e-05,5.3152e-05
14,6507.67,1.15058,1.14929,1.40931,0.71151,0.72721,0.76109,0.51604,1.11675,0.75445,1.53936,5.0248e-05,5.0248e-05,5.0248e-05
15,6970.56,1.14868,1.12274,1.41175,0.72077,0.73411,0.76793,0.52093,1.10622,0.73415,1.52559,4.7344e-05,4.7344e-05,4.7344e-05
16,7432.58,1.14055,1.09478,1.40084,0.73068,0.76405,0.79235,0.54481,1.08562,0.69905,1.50637,4.444e-05,4.444e-05,4.444e-05
17,7895.71,1.12678,1.05931,1.39173,0.7497,0.77503,0.80592,0.56171,1.07487,0.67178,1.49467,4.1536e-05,4.1536e-05,4.1536e-05
18,8357.56,1.11328,1.03765,1.38342,0.77581,0.79262,0.82908,0.58442,1.05181,0.64949,1.47783,3.8632e-05,3.8632e-05,3.8632e-05
19,8818.69,1.10004,1.01036,1.37305,0.79314,0.79207,0.84454,0.59774,1.04022,0.62806,1.46729,3.5728e-05,3.5728e-05,3.5728e-05
20,9279.95,1.09339,0.99042,1.36747,0.80241,0.79009,0.85305,0.61049,1.02062,0.60866,1.45083,3.2824e-05,3.2824e-05,3.2824e-05
21,9743.36,1.04471,0.7334,1.45364,0.83141,0.79258,0.86857,0.62834,0.99947,0.5924,1.43242,2.992e-05,2.992e-05,2.992e-05
22,10204.3,1.01941,0.68423,1.43144,0.82958,0.82542,0.87886,0.64177,0.97868,0.5682,1.41533,2.7016e-05,2.7016e-05,2.7016e-05
23,10665.4,0.99803,0.65715,1.41379,0.84745,0.84085,0.89418,0.65965,0.95845,0.54059,1.39887,2.4112e-05,2.4112e-05,2.4112e-05
24,11127.7,0.98063,0.62715,1.40267,0.84999,0.8448,0.89889,0.67018,0.93992,0.52328,1.3825,2.1208e-05,2.1208e-05,2.1208e-05
25,11588.5,0.95994,0.60519,1.38139,0.86138,0.85745,0.91116,0.68503,0.91911,0.50279,1.36513,1.8304e-05,1.8304e-05,1.8304e-05
26,12049.9,0.94542,0.58473,1.36731,0.88292,0.8555,0.91809,0.6949,0.9066,0.48956,1.35335,1.54e-05,1.54e-05,1.54e-05
27,12510.3,0.92727,0.56482,1.35685,0.86798,0.87624,0.92349,0.70279,0.89232,0.47714,1.34031,1.2496e-05,1.2496e-05,1.2496e-05
28,12972.2,0.91273,0.5505,1.34598,0.88258,0.87521,0.92704,0.71096,0.87965,0.46637,1.33014,9.592e-06,9.592e-06,9.592e-06
29,13433.5,0.89599,0.5318,1.33071,0.88562,0.88218,0.93121,0.71619,0.87216,0.45768,1.32269,6.688e-06,6.688e-06,6.688e-06
30,13894.4,0.88505,0.5191,1.32277,0.88985,0.88114,0.93316,0.7202,0.86402,0.45073,1.31609,3.784e-06,3.784e-06,3.784e-06
